Sno,Ok,SOP,Message,Msg Id,Data Role,Power Role,Obj Count,Rev,Duration,Delta,Vbus(V),Data,Start Time,End Time
189,OK,SOP,GOODCRC,2,DFP,SRC,0,v3,512,94,20813,0x5A1,24880690,24881202
190,OK,SOP,ACCEPT,3,DFP,SRC,0,v3,512,2880,20848,0x7A3,24884082,24884594
191,OK,SOP,GOODCRC,3,UFP,SNK,0,v3,510,82,20825,0x681,24884676,24885186
192,OK,SOP,PS_RDY,4,DFP,SRC,0,v3,513,39333,22011,0x9A6,24924519,24925032
193,OK,SOP,GOODCRC,4,UFP,SNK,0,v3,510,81,22022,0x881,24925113,24925623
194,OK,SOP,EXTENDED_CONTROL_MSG,3,UFP,SNK,1,v3,645,404698,23754,0x9690 0x8002 0x03 0x00,25330321,25330966
195,OK,SOP,GOODCRC,3,DFP,SRC,0,v3,512,98,23742,0x7A1,25331064,25331576
196,OK,SOP,EXTENDED_CONTROL_MSG,5,DFP,SRC,1,v3,647,1564,23754,0x9BB0 0x8002 0x04 0x00,25333140,25333787
197,OK,SOP,GOODCRC,5,UFP,SNK,0,v3,510,82,23742,0xA81,25333869,25334379
198,OK,SOP,EXTENDED_CONTROL_MSG,4,UFP,SNK,1,v3,645,454469,23766,0x9890 0x8002 0x03 0x00,25788848,25789493
199,OK,SOP,GOODCRC,4,DFP,SRC,0,v3,512,110,23742,0x9A1,25789603,25790115
200,OK,SOP,EXTENDED_CONTROL_MSG,6,DFP,SRC,1,v3,648,1493,23766,0x9DB0 0x8002 0x04 0x00,25791608,25792256
201,OK,SOP,GOODCRC,6,UFP,SNK,0,v3,511,81,23754,0xC81,25792337,25792848
202,OK,SOP,EXTENDED_CONTROL_MSG,5,UFP,SNK,1,v3,645,454499,23766,0x9A90 0x8002 0x03 0x00,26247347,26247992
203,OK,SOP,GOODCRC,5,DFP,SRC,0,v3,512,99,23742,0xBA1,26248091,26248603
204,OK,SOP,EXTENDED_CONTROL_MSG,7,DFP,SRC,1,v3,647,1885,23766,0x9FB0 0x8002 0x04 0x00,26250488,26251135
205,OK,SOP,GOODCRC,7,UFP,SNK,0,v3,510,82,23754,0xE81,26251217,26251727
206,OK,SOP,EXTENDED_CONTROL_MSG,6,UFP,SNK,1,v3,645,454145,23778,0x9C90 0x8002 0x03 0x00,26705872,26706517
207,OK,SOP,GOODCRC,6,DFP,SRC,0,v3,512,97,23766,0xDA1,26706614,26707126
208,OK,SOP,EXTENDED_CONTROL_MSG,0,DFP,SRC,1,v3,648,1486,23766,0x91B0 0x8002 0x04 0x00,26708612,26709260
209,OK,SOP,GOODCRC,0,UFP,SNK,0,v3,510,81,23742,0x81,26709341,26709851
210,OK,SOP,EPR_REQUEST,7,UFP,SNK,2,v3,781,137579,23778,0x2E89 0xB0487064 0xD3C096F0,26847430,26848211
211,OK,SOP,GOODCRC,7,DFP,SRC,0,v3,511,103,23742,0xFA1,26848314,26848825
212,OK,SOP,ACCEPT,1,DFP,SRC,0,v3,511,2750,23778,0x3A3,26851575,26852086
213,OK,SOP,GOODCRC,1,UFP,SNK,0,v3,510,82,23754,0x281,26852168,26852678
214,OK,SOP,PS_RDY,2,DFP,SRC,0,v3,512,34801,24738,0x5A6,26887479,26887991
215,OK,SOP,GOODCRC,2,UFP,SNK,0,v3,510,82,24738,0x481,26888073,26888583
216,OK,SOP,EXTENDED_CONTROL_MSG,0,UFP,SNK,1,v3,646,404350,26707,0x9090 0x8002 0x03 0x00,27292933,27293579
217,OK,SOP,GOODCRC,0,DFP,SRC,0,v3,512,99,26671,0x1A1,27293678,27294190
