Sno,Ok,SOP,Message,Msg Id,Data Role,Power Role,Obj Count,Rev,Duration,Delta,Vbus(V),Data,Start Time,End Time
124,OK,SOP,EXTENDED_CONTROL_MSG,1,UFP,SNK,1,v3,646,454457,26659,0x9290 0x8002 0x03 0x00,16845159,16845805
125,OK,SOP,GOODCRC,1,DFP,SRC,0,v3,513,98,26636,0x3A1,16845903,16846416
126,OK,SOP,EXTENDED_CONTROL_MSG,4,DFP,SRC,1,v3,648,1570,26659,0x99B0 0x8002 0x04 0x00,16847986,16848634
127,OK,SOP,GOODCRC,4,UFP,SNK,0,v3,510,82,26636,0x881,16848716,16849226
128,OK,SOP,EXTENDED_CONTROL_MSG,2,UFP,SNK,1,v3,645,454391,26671,0x9490 0x8002 0x03 0x00,17303617,17304262
129,OK,SOP,GOODCRC,2,DFP,SRC,0,v3,512,106,26648,0x5A1,17304368,17304880
130,OK,SOP,EXTENDED_CONTROL_MSG,5,DFP,SRC,1,v3,648,1551,26659,0x9BB0 0x8002 0x04 0x00,17306431,17307079
131,OK,SOP,GOODCRC,5,UFP,SNK,0,v3,511,81,26636,0xA81,17307160,17307671
132,OK,SOP,EPR_REQUEST,3,UFP,SNK,2,v3,781,133529,26671,0x2689 0xB049600A 0xD3C096F0,17441200,17441981
133,OK,SOP,GOODCRC,3,DFP,SRC,0,v3,512,94,26636,0x7A1,17442075,17442587
134,OK,SOP,ACCEPT,6,DFP,SRC,0,v3,513,2790,26659,0xDA3,17445377,17445890
135,OK,SOP,GOODCRC,6,UFP,SNK,0,v3,510,81,26648,0xC81,17445971,17446481
136,OK,SOP,PS_RDY,7,DFP,SRC,0,v3,512,40704,27988,0xFA6,17487185,17487697
137,OK,SOP,GOODCRC,7,UFP,SNK,0,v3,511,81,27988,0xE81,17487778,17488289
138,OK,SOP,EXTENDED_CONTROL_MSG,4,UFP,SNK,1,v3,645,404334,29636,0x9890 0x8002 0x03 0x00,17892623,17893268
139,OK,SOP,GOODCRC,4,DFP,SRC,0,v3,512,97,29612,0x9A1,17893365,17893877
140,OK,SOP,EXTENDED_CONTROL_MSG,0,DFP,SRC,1,v3,648,1499,29636,0x91B0 0x8002 0x04 0x00,17895376,17896024
141,OK,SOP,GOODCRC,0,UFP,SNK,0,v3,510,82,29612,0x81,17896106,17896616
142,OK,SOP,EXTENDED_CONTROL_MSG,5,UFP,SNK,1,v3,646,454483,29648,0x9A90 0x8002 0x03 0x00,18351099,18351745
143,OK,SOP,GOODCRC,5,DFP,SRC,0,v3,512,97,29624,0xBA1,18351842,18352354
144,OK,SOP,EXTENDED_CONTROL_MSG,1,DFP,SRC,1,v3,647,1818,29648,0x93B0 0x8002 0x04 0x00,18354172,18354819
145,OK,SOP,GOODCRC,1,UFP,SNK,0,v3,511,82,29624,0x281,18354901,18355412
146,OK,SOP,EXTENDED_CONTROL_MSG,6,UFP,SNK,1,v3,646,454193,29660,0x9C90 0x8002 0x03 0x00,18809605,18810251
147,OK,SOP,GOODCRC,6,DFP,SRC,0,v3,512,95,29624,0xDA1,18810346,18810858
148,OK,SOP,EXTENDED_CONTROL_MSG,2,DFP,SRC,1,v3,647,1741,29636,0x95B0 0x8002 0x04 0x00,18812599,18813246
149,OK,SOP,GOODCRC,2,UFP,SNK,0,v3,510,82,29612,0x481,18813328,18813838
150,OK,SOP,EXTENDED_CONTROL_MSG,7,UFP,SNK,1,v3,645,454299,29648,0x9E90 0x8002 0x03 0x00,19268137,19268782
151,OK,SOP,GOODCRC,7,DFP,SRC,0,v3,512,97,29624,0xFA1,19268879,19269391
